"index";"date";"time";"A";"B";"All"
"239";2019-10-20;22;NA;NA;NA
"240";2019-10-20;23;NA;NA;NA
"241";2019-10-21;0;NA;NA;NA
"242";2019-10-21;1;NA;NA;NA
"243";2019-10-21;2;NA;NA;NA
"244";2019-10-21;3;NA;NA;NA
"245";2019-10-21;4;NA;NA;NA
"246";2019-10-21;5;NA;NA;NA
"247";2019-10-21;6;NA;NA;NA
"248";2019-10-21;7;NA;NA;NA
"249";2019-10-21;8;NA;NA;NA
"250";2019-10-21;9;NA;NA;NA
"251";2019-10-21;10;"2019-10-21 10:00:00.000";370;27
"252";2019-10-21;11;"2019-10-21 11:00:00.000";370;35
"253";2019-10-21;12;"2019-10-21 12:00:00.000";370;37
"254";2019-10-21;13;"2019-10-21 13:00:00.000";370;31
"255";2019-10-21;14;"2019-10-21 14:00:00.000";370;27
"256";2019-10-21;15;"2019-10-21 15:00:00.000";370;22
"257";2019-10-21;16;"2019-10-21 16:00:00.000";370;26
"258";2019-10-21;17;"2019-10-21 17:00:00.000";370;16
"259";2019-10-21;18;"2019-10-21 18:00:00.000";370;13
"260";2019-10-21;19;"2019-10-21 19:00:00.000";370;10
"261";2019-10-21;20;"2019-10-21 20:00:00.000";370;1
"262";2019-10-21;21;NA;NA;NA
"263";2019-10-21;22;NA;NA;NA
"264";2019-10-21;23;NA;NA;NA
"265";2019-10-22;0;NA;NA;NA
"266";2019-10-22;1;NA;NA;NA
"267";2019-10-22;2;NA;NA;NA
"268";2019-10-22;3;NA;NA;NA
"269";2019-10-22;4;NA;NA;NA
"270";2019-10-22;5;NA;NA;NA
"271";2019-10-22;6;NA;NA;NA
"272";2019-10-22;7;NA;NA;NA
"273";2019-10-22;8;NA;NA;NA
"274";2019-10-22;9;NA;NA;NA
"275";2019-10-22;10;"2019-10-22 10:00:00.000";370;53
"276";2019-10-22;11;"2019-10-22 11:00:00.000";370;57
"277";2019-10-22;12;"2019-10-22 12:00:00.000";370;54
"278";2019-10-22;13;"2019-10-22 13:00:00.000";370;51
"279";2019-10-22;14;"2019-10-22 14:00:00.000";370;57
"280";2019-10-22;15;"2019-10-22 15:00:00.000";370;73
"281";2019-10-22;16;"2019-10-22 16:00:00.000";370;61
"282";2019-10-22;17;"2019-10-22 17:00:00.000";370;63
"283";2019-10-22;18;"2019-10-22 18:00:00.000";370;40
"284";2019-10-22;19;"2019-10-22 19:00:00.000";370;33
"285";2019-10-22;20;"2019-10-22 20:00:00.000";370;2
"286";2019-10-22;21;NA;NA;NA
"287";2019-10-22;22;NA;NA;NA
"288";2019-10-22;23;NA;NA;NA
"289";2019-10-23;0;NA;NA;NA
"290";2019-10-23;1;NA;NA;NA
"291";2019-10-23;2;NA;NA;NA
"292";2019-10-23;3;NA;NA;NA
"293";2019-10-23;4;NA;NA;NA
"294";2019-10-23;5;NA;NA;NA
"295";2019-10-23;6;NA;NA;NA
"296";2019-10-23;7;NA;NA;NA
"297";2019-10-23;8;NA;NA;NA
"298";2019-10-23;9;NA;NA;NA
